Location Name,# of Genrs,Generated (Tons),# of Mngrs,Managed (Tons),# of Shprs,Shipped (Tons),# of Recvrs,Received (Tons)
* NATIONAL *,"18,731","32,219,747",804,"35,376,446","18,602","6,278,457",451,"6,028,906"
ALABAMA,237,"753,754",14,"599,842",234,"224,967",10,"468,153"
ALASKA,38,"2,718",5,270,38,"2,610",2,209
AMERICAN SAMOA,0,0,0,0,0,0,0,0
ARIZONA,181,"82,753",8,"5,938",178,"87,541",8,"8,436"
ARKANSAS,458,"391,674",21,"578,622",451,"259,243",5,"301,101"
CALIFORNIA,"4,428","226,445",46,"94,742","4,395","296,059",52,"126,504"
COLORADO,144,"69,569",4,"66,893",145,"85,141",5,"79,146"
CONNECTICUT,278,"32,612",10,"12,134",277,"32,099",6,"11,793"
DELAWARE,85,"6,416",3,516,85,"5,902",0,0
DISTRICT OF COLUMBIA,37,"1,799",0,0,37,"1,789",0,0
FLORIDA,375,"62,592",20,"28,751",376,"48,558",16,"14,545"
GEORGIA,304,"66,525",8,440,303,"66,308",5,445
GUAM,8,221,1,2,8,170,1,91
HAWAII,39,"544,648",2,"544,063",38,561,1,24
IDAHO,43,"6,412",3,"30,994",43,"9,126",3,"32,140"
ILLINOIS,707,"315,025",18,"364,962",704,"180,585",17,"225,005"
INDIANA,468,"862,215",36,"1,251,054",462,"397,492",11,"645,924"
IOWA,158,"53,311",6,859,158,"52,620",4,220
KANSAS,209,"1,052,905",26,"1,100,616",205,"89,675",4,"137,710"
KENTUCKY,256,"152,231",19,"146,419",254,"177,265",8,"130,881"
LOUISIANA,414,"4,658,831",24,"4,505,191",415,"494,926",10,"339,250"
MAINE,105,"2,545",3,76,106,"2,628",2,"2,110"
MARYLAND,347,"31,891",9,"24,119",347,"36,760",5,"32,404"
MASSACHUSETTS,538,"46,166",8,"4,034",537,"66,924",8,"17,565"
MICHIGAN,503,"319,789",19,"323,835",501,"335,475",22,"339,496"
MINNESOTA,280,"143,133",22,"109,849",277,"40,548",10,"6,322"
MISSISSIPPI,330,"1,263,267",7,"1,185,536",324,"96,048",2,"19,228"
MISSOURI,389,"134,826",12,"280,954",387,"86,123",15,"231,674"
MONTANA,31,"12,503",0,0,31,"11,284",0,0
NAVAJO NATIONS,1,4,0,0,1,4,0,0
NEBRASKA,92,"23,603",6,"37,963",91,"36,310",3,"42,171"
NEVADA,160,"15,938",7,"91,280",160,"20,395",5,"96,024"
NEW HAMPSHIRE,155,"3,990",2,37,155,"3,736",0,0
NEW JERSEY,527,"153,985",11,"116,314",523,"184,138",8,"150,825"
NEW MEXICO,81,"4,923",5,"1,745",82,"7,917",4,"4,614"
NEW YORK,844,"156,782",34,"55,911",840,"160,721",19,"58,756"
NORTH CAROLINA,427,"113,997",10,"13,270",427,"129,532",11,"26,040"
NORTH DAKOTA,28,"346,323",2,"344,747",28,"1,537",2,86
NORTHERN MARIANAS,0,0,0,0,0,0,0,0
OHIO,690,"1,711,940",38,"1,492,103",681,"836,935",22,"664,048"
OKLAHOMA,200,"91,455",14,"256,701",199,"85,918",8,"250,733"
OREGON,166,"54,248",13,"17,794",165,"68,562",2,"39,684"
PENNSYLVANIA,765,"216,892",34,"311,167",768,"189,228",21,"292,472"
PUERTO RICO,82,"6,919",2,173,81,"7,106",1,343
REGION 01 PURVIEW,0,0,0,0,0,0,0,0
REGION 02 PURVIEW,0,0,0,0,0,0,0,0
REGION 03 PURVIEW,0,0,0,0,0,0,0,0
REGION 04 PURVIEW,0,0,0,0,0,0,0,0
REGION 05 PURVIEW,0,0,0,0,0,0,0,0
REGION 06 PURVIEW,33,446,0,0,33,445,0,0
REGION 07 PURVIEW,0,0,0,0,0,0,0,0
REGION 08 PURVIEW,0,0,0,0,0,0,0,0
REGION 09 PURVIEW,3,55,0,0,3,55,0,0
REGION 10 PURVIEW,3,118,0,0,3,118,0,0
RHODE ISLAND,77,"4,766",4,157,77,"12,035",4,"10,411"
SOUTH CAROLINA,267,"151,644",9,"219,653",259,"143,229",6,"194,308"
SOUTH DAKOTA,35,"1,917",3,23,35,"1,977",1,82
TENNESSEE,273,"237,239",51,"154,727",265,"78,784",11,"69,730"
TEXAS,999,"17,102,529",71,"20,609,840",991,"755,927",39,"757,353"
TRUST TERRITORIES,1,13,0,0,1,13,0,0
UTAH,135,"29,716",12,"105,150",132,"50,126",9,"110,863"
VERMONT,30,"1,410",2,3,30,"2,912",5,"2,992"
VIRGIN ISLANDS,3,"3,338",0,0,3,"3,338",0,0
VIRGINIA,316,"70,253",10,"1,094",314,"69,916",7,813
WASHINGTON,369,"263,302",65,"203,929",368,"79,786",15,"19,482"
WEST VIRGINIA,121,"45,447",6,"18,969",121,"35,094",4,"10,990"
WISCONSIN,437,"107,059",38,"62,983",429,"121,516",11,"55,709"
WYOMING,21,"2,718",1,2,21,"2,718",1,2
