Location Name,Interstate Shipments (Tons),Interstate Receipts (Tons)
* NATIONAL *,"3,599,385","3,649,338"
ALABAMA,"90,171","142,615"
ALASKA,"1,994",0
AMERICAN SAMOA,0,0
ARIZONA,"18,201","12,738"
ARKANSAS,"177,690","207,494"
CALIFORNIA,"457,425","10,681"
COLORADO,"27,195","33,970"
CONNECTICUT,"19,311","4,321"
DELAWARE,"42,940",60
DISTRICT OF COLUMBIA,"1,139",0
FLORIDA,"30,473","3,378"
GEORGIA,"39,554","1,493"
GUAM,56,0
HAWAII,"1,121",3
IDAHO,"5,302","111,050"
ILLINOIS,"114,462","250,552"
INDIANA,"211,057","283,324"
IOWA,"50,585",278
KANSAS,"25,338","148,603"
KENTUCKY,"160,636","69,341"
LOUISIANA,"124,186","91,410"
MAINE,"2,281",15
MARYLAND,"53,179","54,814"
MASSACHUSETTS,"38,234","1,963"
MICHIGAN,"116,660","347,160"
MINNESOTA,"60,462","144,152"
MISSISSIPPI,"72,230","17,568"
MISSOURI,"58,634","129,663"
MONTANA,"4,834",0
NAVAJO NATION,28,0
NAVAJO NATIONS,0,0
NEBRASKA,"42,179","34,741"
NEVADA,"3,652","71,366"
NEW HAMPSHIRE,"3,946",0
NEW JERSEY,"189,879","166,332"
NEW MEXICO,"10,050","4,083"
NEW YORK,"123,392","42,399"
NORTH CAROLINA,"87,452","7,874"
NORTH DAKOTA,"1,115",84
NORTHERN MARIANAS,0,0
OHIO,"270,681","362,479"
OKLAHOMA,"23,474","88,414"
OREGON,"70,584","25,632"
PENNSYLVANIA,"154,520","288,250"
PUERTO RICO,"34,511",21
REGION 01 PURVIEW,0,0
REGION 02 PURVIEW,0,0
REGION 03 PURVIEW,0,0
REGION 04 PURVIEW,0,0
REGION 05 PURVIEW,0,0
REGION 06 PURVIEW,0,0
REGION 07 PURVIEW,0,0
REGION 08 PURVIEW,0,0
REGION 09 PURVIEW,0,0
REGION 10 PURVIEW,0,0
RHODE ISLAND,"14,091","8,561"
SOUTH CAROLINA,"59,632","108,779"
SOUTH DAKOTA,"1,393",35
TENNESSEE,"51,670","25,666"
TEXAS,"168,191","235,487"
TRUST TERRITORIES,3,0
TRUST TERRITORIES,11,0
UTAH,"24,578","64,334"
VERMONT,"2,436","1,020"
VIRGINIA,"71,325",21
VIRGIN ISLANDS,"1,325",0
WASHINGTON,"61,278","10,167"
WEST VIRGINIA,"39,085","6,317"
WISCONSIN,"79,549","30,637"
WYOMING,"4,002",0
