,Commodities/Industries,111CA,113FF,211,212,213,22,23,321,327,331,332,333,334,335,3361MV,3364OT,337,339,311FT,313TT,315AL,322,323,324,325,326,42,441,445,452,4A0,481,482,483,484,485,486,487OS,493,511,512,513,514,521CI,523,524,525,HS,ORE,532RL,5411,5415,5412OP,55,561,562,61,621,622,623,624,711AS,713,721,722,81,GFGD,GFGN,GFE,GSLG,GSLE,T001,F010,F02E,F02N,F02R,F02S,F030,F040,F06C,F06E,F06N,F06S,F07C,F07E,F07N,F07S,F10C,F10E,F10N,F10S,T019
IOCode,Name,Farms,"Forestry, fishing, and related activities",Oil and gas extraction,"Mining, except oil and gas",Support activities for mining,Utilities,Construction,Wood products,Nonmetallic mineral products,Primary metals,Fabricated metal products,Machinery,Computer and electronic products,"Electrical equipment, appliances, and components","Motor vehicles, bodies and trailers, and parts",Other transportation equipment,Furniture and related products,Miscellaneous manufacturing,Food and beverage and tobacco products,Textile mills and textile product mills,Apparel and leather and allied products,Paper products,Printing and related support activities,Petroleum and coal products,Chemical products,Plastics and rubber products,Wholesale trade,Motor vehicle and parts dealers,Food and beverage stores,General merchandise stores,Other retail,Air transportation,Rail transportation,Water transportation,Truck transportation,Transit and ground passenger transportation,Pipeline transportation,Other transportation and support activities,Warehousing and storage,"Publishing industries, except internet (includes software)",Motion picture and sound recording industries,Broadcasting and telecommunications,"Data processing, internet publishing, and other information services","Federal Reserve banks, credit intermediation, and related activities","Securities, commodity contracts, and investments",Insurance carriers and related activities,"Funds, trusts, and other financial vehicles",Housing,Other real estate,Rental and leasing services and lessors of intangible assets,Legal services,Computer systems design and related services,"Miscellaneous professional, scientific, and technical services",Management of companies and enterprises,Administrative and support services,Waste management and remediation services,Educational services,Ambulatory health care services,Hospitals,Nursing and residential care facilities,Social assistance,"Performing arts, spectator sports, museums, and related activities","Amusements, gambling, and recreation industries",Accommodation,Food services and drinking places,"Other services, except government",Federal general government (defense),Federal general government (nondefense),Federal government enterprises,State and local general government,State and local government enterprises,Total Intermediate,Personal consumption expenditures,Nonresidential private fixed investment in equipment,Nonresidential private fixed investment in intellectual property products,Residential private fixed investment,Nonresidential private fixed investment in structures,Change in private inventories,Exports of goods and services,National defense: Consumption expenditures,Federal national defense: Gross investment in equipment,Federal national defense: Gross investment in intellectual property products,Federal national defense: Gross investment in structures,Nondefense: Consumption expenditures,Federal nondefense: Gross investment in equipment,Federal nondefense: Gross investment in intellectual property products,Federal nondefense: Gross investment in structures,State and local government consumption expenditures,State and local: Gross investment in equipment,State and local: Gross investment in intellectual property products,State and local: Gross investment in structures,Total use of products
111CA,Farms,71893,901,...,60,46,...,3480,...,...,...,...,...,...,...,...,...,...,544,271550,1828,...,...,...,...,8558,...,1736,1395,1890,359,876,...,...,...,...,...,...,164,...,0,...,...,...,5,0,...,...,2,10,...,3,2,1353,50,3850,...,125,0,0,0,0,...,845,53,3123,83,6,-283,0,4953,...,379460,146652,...,...,...,...,-9342,60702,...,...,...,...,...,...,...,...,...,...,...,...,577472
113FF,"Forestry, fishing, and related activities",23901,9627,...,80,...,...,...,15623,2,...,...,...,...,0,0,...,52,248,9291,...,56,7213,63,24,751,2201,...,...,1027,...,3,...,...,0,...,...,...,9,...,...,...,...,...,...,...,...,...,...,...,...,...,...,326,16,3,...,102,...,0,0,...,...,331,573,4919,260,...,102,25,4456,...,81283,9565,...,...,...,...,2188,7992,...,...,...,...,...,...,...,...,...,...,...,...,101028
211,Oil and gas extraction,...,...,46094,1,0,38886,...,0,0,46,0,0,...,0,0,0,0,0,0,0,...,0,0,380211,5017,0,1,0,0,0,1,...,...,...,...,0,14,...,0,0,0,0,0,...,0,0,...,...,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,2,0,...,...,1555,...,27820,499653,...,...,...,...,...,-2063,72776,...,...,...,...,...,...,...,...,...,...,...,...,570365
212,"Mining, except oil and gas",2771,2,112,6379,95,12047,25260,7,12798,15527,602,148,4,124,64,96,27,124,1419,62,0,1502,...,4054,5254,102,23,0,...,...,3,...,195,0,6,1,...,3,1,24,18,208,493,0,0,0,...,42,0,0,0,0,1370,79,490,41,308,...,53,33,56,398,607,85,559,779,...,1277,...,2887,7604,106221,361,81,...,...,...,582,20917,...,...,...,...,...,...,...,...,...,...,...,...,128163
213,Support activities for mining,...,...,10482,1711,1204,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,0,...,...,...,...,...,...,...,...,...,...,...,...,...,...,56,3,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,13455,...,3177,...,...,137945,4,2528,...,...,...,...,...,...,...,...,...,...,...,...,157109
22,Utilities,4500,139,4968,2565,162,23739,4615,1198,2673,5861,3722,1703,483,644,2565,744,467,759,8029,851,57,4387,970,6068,12563,3724,15942,4077,8415,4863,16527,29,102,76,1322,120,302,487,10258,412,312,2393,1389,3233,854,459,1648,19,102738,1631,294,168,3158,8959,2240,378,7250,1745,6098,1617,771,685,1895,6059,20541,3791,1362,628,919,22214,1624,368161,283695,...,...,...,...,...,4264,...,...,...,...,...,...,...,...,...,...,...,...,656119
23,Construction,1782,44,1247,1398,1488,7384,202,130,294,505,528,330,59,95,429,107,67,125,1041,65,8,594,156,9107,1420,387,1984,657,490,471,2690,164,2408,32,189,260,210,1485,583,35,24,2102,134,2865,925,198,257,74606,78364,162,59,16,606,514,412,25,461,185,476,160,143,209,321,738,1546,3480,7761,1905,1221,30741,52634,303895,...,...,...,600648,475704,...,100,...,...,...,3702,...,...,...,12624,...,...,...,305038,1701712
321,Wood products,409,53,...,122,182,0,62044,26180,505,445,359,1117,403,309,4478,361,8451,1421,586,62,3,6838,5,0,270,1733,4296,187,794,125,1404,...,2999,...,87,...,3,68,261,64,98,1354,2073,158,8,10,...,97,8974,348,14,17,860,3,1007,16,34,326,461,6,1423,9,207,799,1457,787,14,26,1,5826,184,153218,11546,...,...,11355,431,631,7115,...,...,...,...,...,194,...,...,...,...,...,...,184489
327,Nonmetallic mineral products,6,82,1551,410,1139,85,99559,1106,19712,2991,1905,3020,197,2371,9982,495,496,1108,7353,241,...,541,3,2235,3502,2231,440,471,149,257,1497,0,26,...,53,0,1,46,303,6,3,4296,1444,135,87,4,...,135,203,444,11,110,5311,106,1521,239,111,3483,2973,290,368,20,184,193,3276,1565,126,601,...,3268,2397,198474,24770,...,...,...,...,1740,11789,...,...,...,...,...,...,...,...,...,...,...,...,236773
